id,title,capacity,festival_id,tags
42d09375-3a92-44af-859e-e8a4e09f45b3,The Clouds Are Up,10,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""VR_EXPERIENCE""]"
a5b2e686-48c5-4f80-8cad-3e03cb45bf32,Dark Rooms VR,20,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""VR_EXPERIENCE""]"
4b7a1347-ea43-4cb2-9ca0-25adc58026e7,Virtual Palace,10,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""VR_EXPERIENCE""]"
e0e21900-8982-4c15-b155-2a12f683d6d9,Deep Ocean Dive,50,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""VR_EXPERIENCE""]"
c3369d05-51dc-4f33-83fa-638250c49bec,Mars Colony VR,1,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""VR_EXPERIENCE""]"
13cbcd91-b47e-400b-9607-f0e3d1bd2877,Crafting Crimes AR,50,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""AR_STAND""]"
f23e9672-8cfc-403e-99fd-a9f1848eef60,Interactive History,10,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""AR_STAND""]"
fd0ad533-d935-4dc2-b330-da17d310959f,Future City Layers,20,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""AR_STAND""]"
bd8174ca-1fa3-446a-b372-fb0ab85ad87c,AR Anatomy Stand,50,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""AR_STAND""]"
64ed7dff-6373-4012-bb9b-2594dc30bb3d,A Long Goodbye Panel,20,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""CREATOR_TALK""]"
4deb2340-5d89-48d1-b221-9b99cce35922,Indulto Creative Talk,10,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""CREATOR_TALK""]"
64a87cbe-966d-4325-be35-fb6542235ab1,AI in Digital Art,50,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""CREATOR_TALK""]"
97f1e87c-792a-4a5b-9606-5221bd2ac53c,Startup Pitches,50,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""CREATOR_TALK""]"
54c101f5-c21e-4f6e-9123-8a7e7add0f53,Coding 101,5,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""STUDENT_WORKSHOP""]"
98351dbc-dfa2-489a-9745-5e7030619fd5,Design Thinking Workshop,1,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""STUDENT_WORKSHOP""]"
ec172928-8cff-4a66-afa9-a8b99e4e126b,Unity Basics,1,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""STUDENT_WORKSHOP""]"
bb97de74-6b2c-4ddb-b6fa-b2fc134d2548,Blender Modeling,20,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""STUDENT_WORKSHOP""]"
8c5ffe2b-583f-45d1-80ae-8bc0c42bf4ea,NextGen Hardware,10,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""TECH_DISCOVERY""]"
5ded9658-febb-4ef4-b703-1c24eb8814bf,Quantum Computing Intro,5,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""TECH_DISCOVERY""]"
e5195590-6fca-426a-8fe9-97132edf458e,Web3 Showcase,20,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""TECH_DISCOVERY""]"
2d2fd71e-f7db-43e2-a59e-be7c09845ba8,Robotics Live,20,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""TECH_DISCOVERY""]"
d64f9cb2-15b6-4bf1-8d2d-7e1bf13a563c,Decision Maker Summit,10,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""B2B_NETWORKING""]"
9a760b1c-6bba-44fb-8f6e-7a967f31e0ba,VC Speed Dating,50,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""B2B_NETWORKING""]"
542f51c9-6ad0-42ca-a52f-9f69f72bf381,Tech Founders Meetup,50,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""B2B_NETWORKING""]"
4262afba-df16-4273-9a48-73d41c1c631a,B2B Matchmaking,10,9d27df3c-60b3-4efe-98ef-c035a3d63c9b,"[""B2B_NETWORKING""]"
